Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,134.366,-73.787,180.0,top
C2,1uF,C_0805_2012Metric,132.334,-81.214,-90.0,top
C3,22uF,C_0805_2012Metric,163.449,-75.819,-90.0,top
C4,22uF,C_0603_1608Metric,161.531,-81.788,180.0,top
C5,22uF,C_0603_1608Metric,164.592,-81.788,0.0,top
C6,22uF,C_0805_2012Metric,133.223,-88.011,180.0,top
C7,1uF,C_0603_1608Metric,156.2998,-81.214,90.0,top
C8,0.1uF,C_0402_1005Metric,139.093,-65.532,0.0,top
C9,0.1uF,C_0402_1005Metric,152.654,-78.613,90.0,top
C10,0.1uF,C_0402_1005Metric,161.925,-87.884,0.0,top
C11,0.1uF,C_0402_1005Metric,146.812,-88.011,180.0,top
C12,0.1uF,C_0402_1005Metric,146.812,-86.106,180.0,top
C13,0.1uF,C_0402_1005Metric,152.4,-94.234,-90.0,top
C14,0.1uF,C_0402_1005Metric,158.369,-83.627,0.0,top
C15,0.1uF,C_0402_1005Metric,157.734,-81.534,90.0,top
C16,0.1uF,C_0402_1005Metric,145.542,-79.883,90.0,top
C17,1uF,C_0603_1608Metric,157.6968,-77.785,90.0,top
C18,0.1uF,C_0402_1005Metric,151.511,-78.613,90.0,top
C19,0.1uF,C_0402_1005Metric,153.416,-94.234,-90.0,top
C20,22uF,C_0805_2012Metric,134.366,-71.755,180.0,top
C21,22uF,C_0805_2012Metric,161.416997,-75.819001,-90.0,top
C22,22uF,C_0805_2012Metric,132.334,-85.217,-90.0,top
C23,1uF,C_0603_1608Metric,142.24,-72.517,90.0,top
C24,0.1uF,C_0402_1005Metric,139.065,-67.564,0.0,top
C25,1uF,C_0603_1608Metric,148.209,-72.517,180.0,top
C26,1uF,C_0603_1608Metric,148.971,-70.231,90.0,top
D1,BZX84C22-7-F,SOT-23-3,138.176,-71.247,-90.0,top
D3,1N4148,D_SOD-323F,158.115,-74.676,90.0,top
D4,1N4148,D_SOD-323F,143.51,-79.672001,-90.0,top
D5,SS34B,D_SMB,129.032,-82.931,90.0,top
D6,PUSB3FS4Z,DFN2510A-10,154.94,-74.542,0.0,top
J4,78171-0002,Molex_Pico-EZmate_78171-0002_1x02,137.2148,-98.552,0.0,top
J6,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,155.16,-69.157,180.0,top
J7,78171-0002,Molex_Pico-EZmate_78171-0002_1x02,131.826,-98.557,0.0,top
L1,22uH,TDK-VLS5045-5x5.3x4.5,129.159,-75.946,-90.0,top
Q1,SSM3J340R,SOT-23-3F,135.128,-81.153,-90.0,top
R1,29K,R_0805_2012Metric,135.128,-85.979,0.0,top
R2,10K,R_0603_1608Metric,136.271,-77.4138,-90.0,top
R3,10k,R_0603_1608Metric,144.78,-91.567,-90.0,top
R4,10k,R_0603_1608Metric,161.798,-89.154,180.0,top
R5,1k,R_0402_1005Metric,151.003,-94.234,90.0,top
R6,10K,R_0603_1608Metric,144.399,-77.089,180.0,top
R7,39K,R_0805_2012Metric,135.128,-84.074,0.0,top
R8,1k,R_0402_1005Metric,142.875,-88.392,-90.0,top
R9,10k,R_0603_1608Metric,144.2348,-88.392,-90.0,top
R10,10k,R_0603_1608Metric,146.558,-89.408,180.0,top
R11,5K1,R_0603_1608Metric,148.971,-65.532,90.0,top
R12,5K1,R_0603_1608Metric,147.447,-65.532,90.0,top
R13,5K1,R_0603_1608Metric,161.8878,-86.547999,0.0,top
R14,27R,R_0603_1608Metric,154.178,-77.912,90.0,top
R15,27R,R_0603_1608Metric,155.702,-77.913,90.0,top
R16,100R,R_0603_1608Metric,140.335,-75.946,0.0,top
R17,10K,R_0603_1608Metric,138.303,-74.041,0.0,top
R18,3K8,R_0603_1608Metric,140.716,-72.517,-90.0,top
R19,10m,R_0603_1608Metric,147.447,-70.231,-90.0,top
R20,5K1,R_0603_1608Metric,148.717,-77.343,-90.0,top
R21,5K1,R_0603_1608Metric,147.193,-77.343,-90.0,top
SW3,BTN_UR,SW_SPST_TL3342,165.1898,-97.343,90.0,top
SW4,BTN_R,SW_SPST_TL3342,143.51,-97.282,90.0,top
U1,SDB628,SOT-23-6,133.5278,-77.089,90.0,top
U2,W25Q16JVUXIQ, USON-8_2x3x0.6mm,147.3183,-81.849,90.0,top
U5,RP2040,RP2040-QFN-56,153.1163,-86.875,0.0,top
Y2,12MHz,OSC_CSTNE12M0G520000R0,149.225,-93.3635,-90.0,top
